seed,layer,epsilon,cc,tag,mode,K,N,labels_present,labels_missing,parse_error,labels_path,pca_path
1,1,2.8,ambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer1_eps2.8_K10_ambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer1_eps2.8_k10_ambig_noflip_rejected_n200.pt
1,1,2.8,disambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer1_eps2.8_K10_disambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer1_eps2.8_k10_disambig_flip_chosen_n200.pt
1,1,2.8,disambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer1_eps2.8_K10_disambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer1_eps2.8_k10_disambig_flip_rejected_n200.pt
1,1,2.8,disambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer1_eps2.8_K10_disambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer1_eps2.8_k10_disambig_noflip_chosen_n200.pt
1,1,2.8,disambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer1_eps2.8_K10_disambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer1_eps2.8_k10_disambig_noflip_rejected_n200.pt
1,21,1.0,ambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_ambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_ambig_flip_chosen_n200.pt
1,21,1.0,ambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_ambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_ambig_flip_rejected_n200.pt
1,21,1.0,ambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_ambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_ambig_noflip_chosen_n200.pt
1,21,1.0,ambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_ambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_ambig_noflip_rejected_n200.pt
1,21,1.0,disambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_disambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_disambig_flip_chosen_n200.pt
1,21,1.0,disambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_disambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_disambig_flip_rejected_n200.pt
1,21,1.0,disambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_disambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_disambig_noflip_chosen_n200.pt
1,21,1.0,disambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps1.0_K10_disambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps1.0_k10_disambig_noflip_rejected_n200.pt
1,21,2.0,ambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_ambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_ambig_flip_chosen_n200.pt
1,21,2.0,ambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_ambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_ambig_flip_rejected_n200.pt
1,21,2.0,ambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_ambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_ambig_noflip_chosen_n200.pt
1,21,2.0,ambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_ambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_ambig_noflip_rejected_n200.pt
1,21,2.0,disambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_disambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_disambig_flip_chosen_n200.pt
1,21,2.0,disambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_disambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_disambig_flip_rejected_n200.pt
1,21,2.0,disambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_disambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_disambig_noflip_chosen_n200.pt
1,21,2.0,disambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.0_K10_disambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.0_k10_disambig_noflip_rejected_n200.pt
1,21,2.8,ambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_ambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_ambig_flip_chosen_n200.pt
1,21,2.8,ambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_ambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_ambig_flip_rejected_n200.pt
1,21,2.8,ambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_ambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_ambig_noflip_chosen_n200.pt
1,21,2.8,ambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_ambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_ambig_noflip_rejected_n200.pt
1,21,2.8,disambig,flip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_disambig_flip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_disambig_flip_chosen_n200.pt
1,21,2.8,disambig,flip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_disambig_flip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_disambig_flip_rejected_n200.pt
1,21,2.8,disambig,noflip,chosen,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_disambig_noflip_chosen_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_disambig_noflip_chosen_n200.pt
1,21,2.8,disambig,noflip,rejected,10,200,10,0,0,results/labels/component_labels_seed1_layer21_eps2.8_K10_disambig_noflip_rejected_n200.jsonl,results/pca/pca_seed1_layer21_eps2.8_k10_disambig_noflip_rejected_n200.pt
